"filename", "language", "YAML", "JavaScript", "CSS", "HTML", "JSON", "JavaScript React", "comment", "blank", "total"
"e:\projects\iitism-smartid\app\Routes.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 2, 16
"e:\projects\iitism-smartid\app\_components\PrivateRoute.jsx", "JavaScript React", 0, 0, 0, 0, 0, 12, 2, 3, 17
"e:\projects\iitism-smartid\app\_components\index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 1, 2
"e:\projects\iitism-smartid\app\_helpers\auth-header.js", "JavaScript", 0, 9, 0, 0, 0, 0, 2, 1, 12
"e:\projects\iitism-smartid\app\_helpers\handle-response.js", "JavaScript", 0, 20, 0, 0, 0, 0, 10, 4, 34
"e:\projects\iitism-smartid\app\_helpers\history.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 1, 3
"e:\projects\iitism-smartid\app\_helpers\index.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 5
"e:\projects\iitism-smartid\app\_helpers\jwt.js", "JavaScript", 0, 18, 0, 0, 0, 0, 1, 2, 21
"e:\projects\iitism-smartid\app\_services\authentication.service.js", "JavaScript", 0, 41, 0, 0, 0, 0, 4, 7, 52
"e:\projects\iitism-smartid\app\_services\index.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 1, 3
"e:\projects\iitism-smartid\app\_services\merchants.service.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 5, 31
"e:\projects\iitism-smartid\app\_services\user.service.js", "JavaScript", 0, 46, 0, 0, 0, 0, 0, 6, 52
"e:\projects\iitism-smartid\app\app.global.css", "CSS", 0, 0, 32, 0, 0, 0, 5, 8, 45
"e:\projects\iitism-smartid\app\app.html", "HTML", 0, 0, 0, 45, 0, 0, 1, 4, 50
"e:\projects\iitism-smartid\app\components\CardDataView.js", "JavaScript", 0, 250, 0, 0, 0, 0, 32, 16, 298
"e:\projects\iitism-smartid\app\components\CardReader.css", "CSS", 0, 0, 8, 0, 0, 0, 0, 2, 10
"e:\projects\iitism-smartid\app\components\CardReader.js", "JavaScript", 0, 91, 0, 0, 0, 0, 5, 7, 103
"e:\projects\iitism-smartid\app\components\Dashboard\Init.js", "JavaScript", 0, 108, 0, 0, 0, 0, 12, 6, 126
"e:\projects\iitism-smartid\app\components\Dashboard\InitOld.js", "JavaScript", 0, 74, 0, 0, 0, 0, 0, 6, 80
"e:\projects\iitism-smartid\app\components\Dashboard\New.js", "JavaScript", 0, 120, 0, 0, 0, 0, 9, 11, 140
"e:\projects\iitism-smartid\app\components\Dashboard\QueryResults.js", "JavaScript", 0, 57, 0, 0, 0, 0, 0, 4, 61
"e:\projects\iitism-smartid\app\components\Dashboard\SmartIdUserInfo.js", "JavaScript", 0, 42, 0, 0, 0, 0, 2, 2, 46
"e:\projects\iitism-smartid\app\components\Dashboard\UserInfo.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 2, 31
"e:\projects\iitism-smartid\app\components\Dashboard\index.js", "JavaScript", 0, 71, 0, 0, 0, 0, 1, 5, 77
"e:\projects\iitism-smartid\app\components\Divider.css", "CSS", 0, 0, 8, 0, 0, 0, 0, 0, 8
"e:\projects\iitism-smartid\app\components\Divider.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 1, 4
"e:\projects\iitism-smartid\app\components\Login.js", "JavaScript", 0, 127, 0, 0, 0, 0, 7, 11, 145
"e:\projects\iitism-smartid\app\components\Merchants\AddMerchant.js", "JavaScript", 0, 203, 0, 0, 0, 0, 0, 9, 212
"e:\projects\iitism-smartid\app\components\Merchants\index.js", "JavaScript", 0, 94, 0, 0, 0, 0, 0, 8, 102
"e:\projects\iitism-smartid\app\components\PrivateRoute.js", "JavaScript", 0, 21, 0, 0, 0, 0, 2, 5, 28
"e:\projects\iitism-smartid\app\config.js", "JavaScript", 0, 2, 0, 0, 0, 0, 2, 3, 7
"e:\projects\iitism-smartid\app\constants\routes.json", "JSON", 0, 0, 0, 0, 3, 0, 0, 1, 4
"e:\projects\iitism-smartid\app\containers\App.js", "JavaScript", 0, 11, 0, 0, 0, 0, 1, 4, 16
"e:\projects\iitism-smartid\app\containers\CardReaderPage.js", "JavaScript", 0, 9, 0, 0, 0, 0, 1, 4, 14
"e:\projects\iitism-smartid\app\containers\LoginPage.js", "JavaScript", 0, 9, 0, 0, 0, 0, 1, 6, 16
"e:\projects\iitism-smartid\app\containers\MerchantsPage.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 3, 12
"e:\projects\iitism-smartid\app\containers\Root.js", "JavaScript", 0, 85, 0, 0, 0, 0, 9, 6, 100
"e:\projects\iitism-smartid\app\controllers\DeviceController.js", "JavaScript", 0, 257, 0, 0, 0, 0, 22, 26, 305
"e:\projects\iitism-smartid\app\index.js", "JavaScript", 0, 23, 0, 0, 0, 0, 1, 4, 28
"e:\projects\iitism-smartid\app\main.dev.js", "JavaScript", 0, 66, 0, 0, 0, 0, 20, 17, 103
"e:\projects\iitism-smartid\app\menu.js", "JavaScript", 0, 263, 0, 0, 0, 0, 1, 14, 278
"e:\projects\iitism-smartid\app\models\SmartCard.js", "JavaScript", 0, 90, 0, 0, 0, 0, 1, 12, 103
"e:\projects\iitism-smartid\app\models\SmartCardReader.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 3, 18
"e:\projects\iitism-smartid\app\utils\index.js", "JavaScript", 0, 21, 0, 0, 0, 0, 14, 12, 47
"e:\projects\iitism-smartid\appveyor.yml", "YAML", 27, 0, 0, 0, 0, 0, 1, 11, 39
"Total", "-", 27, 2334, 48, 45, 3, 12, 169, 266, 2904